uri,primary_name_display,replaced
http://dx.doi.org/10.13039/501100021395,"Access Copyright Foundation",
http://dx.doi.org/10.13039/100026932,"Access Fund",
http://dx.doi.org/10.13039/100013580,"Access Group Center for Research and Policy Analysis",
http://dx.doi.org/10.13039/100023303,"Accessibility Standards Canada",
http://dx.doi.org/10.13039/100023312,"Accessible Media",
http://dx.doi.org/10.13039/100031684,"AccessLex Center for Legal Education Excellence",
http://dx.doi.org/10.13039/100018118,"AccessLex Institute",
http://dx.doi.org/10.13039/100027993,"Access Scholarships",
http://dx.doi.org/10.13039/100007598,"Accident Compensation Corporation",
http://dx.doi.org/10.13039/501100020695,"Accident Research Centre, Monash University",
http://dx.doi.org/10.13039/501100019119,"Acción Cultural Española",
http://dx.doi.org/10.13039/100028925,"Accion Opportunity Fund",
http://dx.doi.org/10.13039/501100001545,"Accounting and Finance Association of Australia and New Zealand",
http://dx.doi.org/10.13039/100028303,"Accounting and Financial Women's Alliance",
http://dx.doi.org/10.13039/100026243,"Accounting Doctoral Scholars Program",
http://dx.doi.org/10.13039/501100025470,"Accounting Foundation, University of Sydney",
http://dx.doi.org/10.13039/100015339,"ACCP Foundation",
http://dx.doi.org/10.13039/100019477,"Accreditation Council for Business Schools and Programs",
http://dx.doi.org/10.13039/100030938,"Accreditation Council for Graduate Medical Education",
http://dx.doi.org/10.13039/100016226,"Accuray",
http://dx.doi.org/10.13039/100024969,"Accusoft",
http://dx.doi.org/10.13039/100013767,"ACEA Biosciences",
http://dx.doi.org/10.13039/100017048,"ACE Foundation",
http://dx.doi.org/10.13039/100009871,"AcelRx Pharmaceuticals",
http://dx.doi.org/10.13039/100011365,"ACEM Foundation",
http://dx.doi.org/10.13039/501100008025,"Acerde",
http://dx.doi.org/10.13039/100005647,"ACG Institute for Clinical Research and Education",
http://dx.doi.org/10.13039/100017624,"Achaogen",
http://dx.doi.org/10.13039/501100002675,"Acharya N. G. Ranga Agricultural University",
http://dx.doi.org/10.13039/100009929,"Achelis and Bodman Foundation",
http://dx.doi.org/10.13039/100001439,"Achelis Foundation",
http://dx.doi.org/10.13039/100027942,"Achieve Foundation",
http://dx.doi.org/10.13039/501100024832,"Achieve Foundation",
http://dx.doi.org/10.13039/100008227,"Achievement Rewards for College Scientists Foundation",
http://dx.doi.org/10.13039/100030311,"Achieve Today",
http://dx.doi.org/10.13039/100027756,"Achieve Twin Cities",
http://dx.doi.org/10.13039/100027755,"A Child Waits Foundation",
http://dx.doi.org/10.13039/501100007344,"Achmea",
http://dx.doi.org/10.13039/100025123,"ACIS Educational Tours",
http://dx.doi.org/10.13039/100030776,"ACIST Medical Systems",
http://dx.doi.org/10.13039/100024211,"Acıbadem Mehmet Ali Aydınlar Üniversitesi",
